,m,x,y,z,vx,vy,vz
285,0.0015965248,1.57162,-18.8389,6.77818,-0.110552,1.61034,-0.608696
286,0.0015965248,1.95759,-18.9964,6.79334,0.193248,0.0104573,-0.231853
287,0.0015965248,1.79706,-18.819,6.88591,0.465104,0.682691,-0.247541
288,0.0015965248,1.65536,-19.16,6.96737,-1.16952,1.30359,-0.0576748
289,0.0015965248,1.51857,-19.1101,6.74222,-0.416692,1.55704,-1.00234
290,0.0015965248,2.00025,-19.0485,6.80227,-0.355934,-0.0348711,-0.232822
291,0.0015965248,1.54708,-18.9307,6.80758,0.327967,1.28289,-0.922899
292,0.0015965248,1.51166,-19.1562,6.72571,-0.403635,1.6615,-0.252972
293,0.0015965248,1.59991,-19.1904,6.82925,-1.16589,1.64334,-0.282281
294,0.0015965248,1.69398,-19.2537,6.76306,-1.39668,1.04314,-0.723521
295,0.0015965248,1.49182,-18.9876,6.80892,-0.644351,1.64073,0.0068984
296,0.0015965248,1.9918,-19.0378,6.81736,-0.782035,-0.0264678,-0.350855
297,0.0015965248,1.89419,-18.9923,6.91304,0.0772783,-0.133847,-0.476542
298,0.0015965248,1.96942,-18.9916,6.74599,0.112879,0.0195599,-0.435115
299,0.0015965248,1.87388,-19.0575,6.59193,-0.762982,0.388375,0.269265
300,0.0015965248,1.58709,-19.1993,6.8811,-0.605242,1.80619,-0.385325
301,0.0015965248,1.6501,-18.8237,6.89886,0.331039,1.28908,-0.215013
302,0.0015965248,1.98662,-19.1942,6.73215,-1.12988,0.589633,-0.47484
303,0.0015965248,1.8425,-18.8889,6.77255,0.718395,0.407858,-0.423787
304,0.0015965248,1.48976,-18.9248,6.85829,-0.00974718,1.47402,-0.639283
305,0.0015965248,1.59729,-19.0917,6.68137,-0.767507,1.90416,-0.668519
306,0.0015965248,1.43616,-18.9972,6.8154,-0.591353,1.52061,-0.315246
307,0.0015965248,1.71221,-19.2781,6.79177,-1.32654,1.09523,-0.754792
308,0.0015965248,2.01022,-19.1254,6.90094,-0.655698,0.218438,-0.136913
309,0.0015965248,1.82176,-18.8792,6.59611,-0.158383,0.307983,-0.862248
310,0.0015965248,1.61687,-19.2923,6.78266,-0.99169,1.09725,-0.932169
311,0.0015965248,1.60035,-19.0045,6.68979,-0.566944,1.98633,-0.0208873
312,0.0015965248,1.54387,-18.9272,6.80822,0.602743,1.04982,-0.378452
313,0.0015965248,1.93817,-18.9775,7.01517,-0.311434,0.305606,-0.627103
314,0.0015965248,1.89056,-19.0795,6.65319,-0.366823,-0.107611,-0.859795
315,0.0015965248,1.8887,-18.9745,6.70121,-0.091397,-0.28046,-0.577111
316,0.0015965248,1.56368,-18.9897,6.7639,0.164571,1.74056,0.17942
317,0.0015965248,2.02874,-19.0176,6.75801,-0.1965,0.0964476,-0.175211
318,0.0015965248,1.95968,-19.1086,6.80384,-0.538514,-0.0363498,-0.973123
319,0.0015965248,1.50353,-19.057,6.76985,-0.4406,1.68355,-0.960757
320,0.0015965248,1.58442,-19.2639,6.75731,-0.98622,1.35761,0.0577883
321,0.0015965248,1.77377,-19.2275,6.90793,-1.32272,0.735361,-0.949179
322,0.0015965248,1.44785,-19.127,6.85429,-0.760133,1.35276,-0.740667
323,0.0015965248,1.90046,-19.2154,6.94212,-1.18207,0.593839,-0.179641
324,0.0015965248,1.70578,-18.8074,6.7727,0.44174,1.43013,-0.521991
325,0.0015965248,1.59977,-18.9129,6.71175,0.0328733,1.77814,0.0869494
326,0.0015965248,1.65882,-18.896,6.68763,0.221127,1.49789,0.334134
327,0.0015965248,1.62812,-19.038,6.81261,-0.013049,1.15374,0.996045
328,0.0015965248,1.45576,-19.0936,6.78948,-0.725513,1.56957,-0.65201
329,0.0015965248,1.87222,-19.1989,6.73686,-1.21459,0.677186,-1.18007
330,0.0015965248,2.05433,-19.068,6.83498,-0.138438,0.182222,-0.430788
331,0.0015965248,1.94383,-19.1055,6.80947,-0.856549,-0.147543,-0.780215
332,0.0015965248,1.58926,-19.2141,6.85328,-1.20783,1.10646,-1.00488
